county,town,office,district,party,candidate,votes
Caledonia,LYNDON,State Treasurer,,Democratic/Republican,Beth Pearce,1587
Caledonia,NEWARK,State Treasurer,,Democratic/Republican,Beth Pearce,208
Caledonia,PEACHAM,State Treasurer,,Democratic/Republican,Beth Pearce,380
Caledonia,RYEGATE,State Treasurer,,Democratic/Republican,Beth Pearce,458
Caledonia,SAINT JOHNSBURY,State Treasurer,,Democratic/Republican,Beth Pearce,2354
Caledonia,SHEFFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,210
Caledonia,STANNARD,State Treasurer,,Democratic/Republican,Beth Pearce,73
Caledonia,SUTTON,State Treasurer,,Democratic/Republican,Beth Pearce,346
Caledonia,WALDEN,State Treasurer,,Democratic/Republican,Beth Pearce,381
Caledonia,WATERFORD,State Treasurer,,Democratic/Republican,Beth Pearce,577
Caledonia,WHEELOCK,State Treasurer,,Democratic/Republican,Beth Pearce,293
Chittenden,BOLTON,State Treasurer,,Democratic/Republican,Beth Pearce,506
Chittenden,BURLINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,12070
Chittenden,CHARLOTTE,State Treasurer,,Democratic/Republican,Beth Pearce,1903
Chittenden,COLCHESTER,State Treasurer,,Democratic/Republican,Beth Pearce,5789
Chittenden,ESSEX,State Treasurer,,Democratic/Republican,Beth Pearce,8567
Chittenden,HINESBURG,State Treasurer,,Democratic/Republican,Beth Pearce,1948
Chittenden,HUNTINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,925
Chittenden,JERICHO,State Treasurer,,Democratic/Republican,Beth Pearce,2556
Chittenden,MILTON,State Treasurer,,Democratic/Republican,Beth Pearce,3686
Chittenden,RICHMOND,State Treasurer,,Democratic/Republican,Beth Pearce,1911
Chittenden,SAINT GEORGE,State Treasurer,,Democratic/Republican,Beth Pearce,268
Chittenden,SHELBURNE,State Treasurer,,Democratic/Republican,Beth Pearce,3677
Chittenden,SOUTH BURLINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,7669
Chittenden,UNDERHILL,State Treasurer,,Democratic/Republican,Beth Pearce,1461
Chittenden,WESTFORD,State Treasurer,,Democratic/Republican,Beth Pearce,911
Chittenden,WILLISTON,State Treasurer,,Democratic/Republican,Beth Pearce,4321
Chittenden,WINOOSKI,State Treasurer,,Democratic/Republican,Beth Pearce,1998
Essex,BLOOMFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,80
Essex,BRIGHTON,State Treasurer,,Democratic/Republican,Beth Pearce,398
Essex,BRUNSWICK,State Treasurer,,Democratic/Republican,Beth Pearce,44
Essex,CANAAN,State Treasurer,,Democratic/Republican,Beth Pearce,301
Essex,CONCORD,State Treasurer,,Democratic/Republican,Beth Pearce,411
Essex,EAST HAVEN,State Treasurer,,Democratic/Republican,Beth Pearce,110
Essex,GRANBY,State Treasurer,,Democratic/Republican,Beth Pearce,30
Essex,GUILDHALL,State Treasurer,,Democratic/Republican,Beth Pearce,104
Essex,LEMINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,30
Essex,LUNENBURG,State Treasurer,,Democratic/Republican,Beth Pearce,390
Essex,MAIDSTONE,State Treasurer,,Democratic/Republican,Beth Pearce,97
Essex,NORTON,State Treasurer,,Democratic/Republican,Beth Pearce,65
Essex,VICTORY,State Treasurer,,Democratic/Republican,Beth Pearce,42
Franklin,BAKERSFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,436
Franklin,BERKSHIRE,State Treasurer,,Democratic/Republican,Beth Pearce,495
Franklin,ENOSBURGH,State Treasurer,,Democratic/Republican,Beth Pearce,904
Franklin,FAIRFAX,State Treasurer,,Democratic/Republican,Beth Pearce,1817
Franklin,FAIRFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,736
Franklin,FLETCHER,State Treasurer,,Democratic/Republican,Beth Pearce,537
Franklin,FRANKLIN,State Treasurer,,Democratic/Republican,Beth Pearce,501
Franklin,GEORGIA,State Treasurer,,Democratic/Republican,Beth Pearce,1862
Franklin,HIGHGATE,State Treasurer,,Democratic/Republican,Beth Pearce,1113
Franklin,MONTGOMERY,State Treasurer,,Democratic/Republican,Beth Pearce,439
Franklin,RICHFORD,State Treasurer,,Democratic/Republican,Beth Pearce,655
Franklin,SAINT ALBANS CITY,State Treasurer,,Democratic/Republican,Beth Pearce,1947
Franklin,SAINT ALBANS TOWN,State Treasurer,,Democratic/Republican,Beth Pearce,2458
Franklin,SHELDON,State Treasurer,,Democratic/Republican,Beth Pearce,646
Franklin,SWANTON,State Treasurer,,Democratic/Republican,Beth Pearce,2091
Grand Isle,ALBURGH,State Treasurer,,Democratic/Republican,Beth Pearce,662
Grand Isle,GRAND ISLE,State Treasurer,,Democratic/Republican,Beth Pearce,935
Grand Isle,ISLE LA MOTTE,State Treasurer,,Democratic/Republican,Beth Pearce,212
Grand Isle,NORTH HERO,State Treasurer,,Democratic/Republican,Beth Pearce,503
Grand Isle,SOUTH HERO,State Treasurer,,Democratic/Republican,Beth Pearce,864
Lamoille,BELVIDERE,State Treasurer,,Democratic/Republican,Beth Pearce,110
Lamoille,CAMBRIDGE,State Treasurer,,Democratic/Republican,Beth Pearce,1472
Lamoille,EDEN,State Treasurer,,Democratic/Republican,Beth Pearce,398
Lamoille,ELMORE,State Treasurer,,Democratic/Republican,Beth Pearce,405
Lamoille,HYDE PARK,State Treasurer,,Democratic/Republican,Beth Pearce,1185
Lamoille,JOHNSON,State Treasurer,,Democratic/Republican,Beth Pearce,945
Lamoille,MORRISTOWN,State Treasurer,,Democratic/Republican,Beth Pearce,2062
Lamoille,STOWE,State Treasurer,,Democratic/Republican,Beth Pearce,2119
Lamoille,WATERVILLE,State Treasurer,,Democratic/Republican,Beth Pearce,264
Lamoille,WOLCOTT,State Treasurer,,Democratic/Republican,Beth Pearce,606
Orange,BRADFORD,State Treasurer,,Democratic/Republican,Beth Pearce,894
Orange,BRAINTREE,State Treasurer,,Democratic/Republican,Beth Pearce,467
Orange,BROOKFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,569
Orange,CHELSEA,State Treasurer,,Democratic/Republican,Beth Pearce,501
Orange,CORINTH,State Treasurer,,Democratic/Republican,Beth Pearce,480
Orange,FAIRLEE,State Treasurer,,Democratic/Republican,Beth Pearce,407
Orange,NEWBURY,State Treasurer,,Democratic/Republican,Beth Pearce,822
Orange,ORANGE,State Treasurer,,Democratic/Republican,Beth Pearce,436
Orange,RANDOLPH,State Treasurer,,Democratic/Republican,Beth Pearce,1706
Orange,STRAFFORD,State Treasurer,,Democratic/Republican,Beth Pearce,503
Orange,THETFORD,State Treasurer,,Democratic/Republican,Beth Pearce,1216
Orange,TOPSHAM,State Treasurer,,Democratic/Republican,Beth Pearce,439
Orange,TUNBRIDGE,State Treasurer,,Democratic/Republican,Beth Pearce,529
Orange,VERSHIRE,State Treasurer,,Democratic/Republican,Beth Pearce,257
Orange,WASHINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,430
Orange,WEST FAIRLEE,State Treasurer,,Democratic/Republican,Beth Pearce,215
Orange,WILLIAMSTOWN,State Treasurer,,Democratic/Republican,Beth Pearce,1259
Orleans,ALBANY,State Treasurer,,Democratic/Republican,Beth Pearce,353
Orleans,BARTON,State Treasurer,,Democratic/Republican,Beth Pearce,823
Orleans,BROWNINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,299
Orleans,CHARLESTON,State Treasurer,,Democratic/Republican,Beth Pearce,332
Orleans,COVENTRY,State Treasurer,,Democratic/Republican,Beth Pearce,400
Orleans,CRAFTSBURY,State Treasurer,,Democratic/Republican,Beth Pearce,471
Orleans,DERBY,State Treasurer,,Democratic/Republican,Beth Pearce,1681
Orleans,GLOVER,State Treasurer,,Democratic/Republican,Beth Pearce,452
Orleans,GREENSBORO,State Treasurer,,Democratic/Republican,Beth Pearce,322
Orleans,HOLLAND,State Treasurer,,Democratic/Republican,Beth Pearce,201
Orleans,IRASBURG,State Treasurer,,Democratic/Republican,Beth Pearce,442
Orleans,JAY,State Treasurer,,Democratic/Republican,Beth Pearce,186
Orleans,LOWELL,State Treasurer,,Democratic/Republican,Beth Pearce,300
Orleans,MORGAN,State Treasurer,,Democratic/Republican,Beth Pearce,258
Orleans,NEWPORT CITY,State Treasurer,,Democratic/Republican,Beth Pearce,1199
Orleans,NEWPORT TOWN,State Treasurer,,Democratic/Republican,Beth Pearce,508
Orleans,TROY,State Treasurer,,Democratic/Republican,Beth Pearce,483
Orleans,WESTFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,222
Orleans,WESTMORE,State Treasurer,,Democratic/Republican,Beth Pearce,164
Rutland,BENSON,State Treasurer,,Democratic/Republican,Beth Pearce,361
Rutland,BRANDON,State Treasurer,,Democratic/Republican,Beth Pearce,1466
Rutland,CASTLETON,State Treasurer,,Democratic/Republican,Beth Pearce,1311
Rutland,CHITTENDEN,State Treasurer,,Democratic/Republican,Beth Pearce,568
Rutland,CLARENDON,State Treasurer,,Democratic/Republican,Beth Pearce,960
Rutland,DANBY,State Treasurer,,Democratic/Republican,Beth Pearce,495
Rutland,FAIR HAVEN,State Treasurer,,Democratic/Republican,Beth Pearce,877
Rutland,HUBBARDTON,State Treasurer,,Democratic/Republican,Beth Pearce,291
Rutland,IRA,State Treasurer,,Democratic/Republican,Beth Pearce,193
Rutland,KILLINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,473
Rutland,MENDON,State Treasurer,,Democratic/Republican,Beth Pearce,511
Rutland,MIDDLETOWN SPRINGS,State Treasurer,,Democratic/Republican,Beth Pearce,354
Rutland,MOUNT HOLLY,State Treasurer,,Democratic/Republican,Beth Pearce,572
Rutland,MOUNT TABOR,State Treasurer,,Democratic/Republican,Beth Pearce,67
Rutland,PAWLET,State Treasurer,,Democratic/Republican,Beth Pearce,564
Rutland,PITTSFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,218
Rutland,PITTSFORD,State Treasurer,,Democratic/Republican,Beth Pearce,1185
Rutland,POULTNEY,State Treasurer,,Democratic/Republican,Beth Pearce,1049
Rutland,PROCTOR,State Treasurer,,Democratic/Republican,Beth Pearce,674
Rutland,RUTLAND CITY,State Treasurer,,Democratic/Republican,Beth Pearce,5389
Rutland,RUTLAND TOWN,State Treasurer,,Democratic/Republican,Beth Pearce,1841
Rutland,SHREWSBURY,State Treasurer,,Democratic/Republican,Beth Pearce,491
Rutland,SUDBURY,State Treasurer,,Democratic/Republican,Beth Pearce,250
Rutland,TINMOUTH,State Treasurer,,Democratic/Republican,Beth Pearce,223
Rutland,WALLINGFORD,State Treasurer,,Democratic/Republican,Beth Pearce,842
Rutland,WELLS,State Treasurer,,Democratic/Republican,Beth Pearce,419
Rutland,WEST HAVEN,State Treasurer,,Democratic/Republican,Beth Pearce,110
Rutland,WEST RUTLAND,State Treasurer,,Democratic/Republican,Beth Pearce,800
Washington,BARRE CITY,State Treasurer,,Democratic/Republican,Beth Pearce,2710
Washington,BARRE TOWN,State Treasurer,,Democratic/Republican,Beth Pearce,3662
Washington,BERLIN,State Treasurer,,Democratic/Republican,Beth Pearce,1113
Washington,CABOT,State Treasurer,,Democratic/Republican,Beth Pearce,574
Washington,CALAIS,State Treasurer,,Democratic/Republican,Beth Pearce,757
Washington,DUXBURY,State Treasurer,,Democratic/Republican,Beth Pearce,589
Washington,EAST MONTPELIER,State Treasurer,,Democratic/Republican,Beth Pearce,1285
Washington,FAYSTON,State Treasurer,,Democratic/Republican,Beth Pearce,627
Washington,MARSHFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,614
Washington,MIDDLESEX,State Treasurer,,Democratic/Republican,Beth Pearce,884
Washington,MONTPELIER,State Treasurer,,Democratic/Republican,Beth Pearce,3732
Washington,MORETOWN,State Treasurer,,Democratic/Republican,Beth Pearce,767
Washington,NORTHFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,1753
Washington,PLAINFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,486
Washington,ROXBURY,State Treasurer,,Democratic/Republican,Beth Pearce,280
Washington,WAITSFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,833
Washington,WARREN,State Treasurer,,Democratic/Republican,Beth Pearce,757
Washington,WATERBURY,State Treasurer,,Democratic/Republican,Beth Pearce,2362
Washington,WOODBURY,State Treasurer,,Democratic/Republican,Beth Pearce,389
Washington,WORCESTER,State Treasurer,,Democratic/Republican,Beth Pearce,471
Windham,ATHENS,State Treasurer,,Democratic/Republican,Beth Pearce,112
Windham,BRATTLEBORO,State Treasurer,,Democratic/Republican,Beth Pearce,4011
Windham,BROOKLINE,State Treasurer,,Democratic/Republican,Beth Pearce,196
Windham,DOVER,State Treasurer,,Democratic/Republican,Beth Pearce,561
Windham,DUMMERSTON,State Treasurer,,Democratic/Republican,Beth Pearce,868
Windham,GRAFTON,State Treasurer,,Democratic/Republican,Beth Pearce,270
Windham,GUILFORD,State Treasurer,,Democratic/Republican,Beth Pearce,837
Windham,HALIFAX,State Treasurer,,Democratic/Republican,Beth Pearce,286
Windham,JAMAICA,State Treasurer,,Democratic/Republican,Beth Pearce,384
Windham,LONDONDERRY,State Treasurer,,Democratic/Republican,Beth Pearce,672
Windham,MARLBORO,State Treasurer,,Democratic/Republican,Beth Pearce,410
Windham,NEWFANE,State Treasurer,,Democratic/Republican,Beth Pearce,711
Windham,PUTNEY,State Treasurer,,Democratic/Republican,Beth Pearce,889
Windham,ROCKINGHAM,State Treasurer,,Democratic/Republican,Beth Pearce,1514
Windham,STRATTON,State Treasurer,,Democratic/Republican,Beth Pearce,100
Windham,TOWNSHEND,State Treasurer,,Democratic/Republican,Beth Pearce,484
Windham,VERNON,State Treasurer,,Democratic/Republican,Beth Pearce,817
Windham,WARDSBORO,State Treasurer,,Democratic/Republican,Beth Pearce,288
Windham,WESTMINSTER,State Treasurer,,Democratic/Republican,Beth Pearce,1101
Windham,WHITINGHAM,State Treasurer,,Democratic/Republican,Beth Pearce,445
Windham,WILMINGTON,State Treasurer,,Democratic/Republican,Beth Pearce,723
Windham,WINDHAM,State Treasurer,,Democratic/Republican,Beth Pearce,202
Windsor,ANDOVER,State Treasurer,,Democratic/Republican,Beth Pearce,234
Windsor,BALTIMORE,State Treasurer,,Democratic/Republican,Beth Pearce,105
Windsor,BARNARD,State Treasurer,,Democratic/Republican,Beth Pearce,374
Windsor,BETHEL,State Treasurer,,Democratic/Republican,Beth Pearce,737
Windsor,BRIDGEWATER,State Treasurer,,Democratic/Republican,Beth Pearce,319
Windsor,CAVENDISH,State Treasurer,,Democratic/Republican,Beth Pearce,483
Windsor,CHESTER,State Treasurer,,Democratic/Republican,Beth Pearce,1161
Windsor,HARTFORD,State Treasurer,,Democratic/Republican,Beth Pearce,3699
Windsor,HARTLAND,State Treasurer,,Democratic/Republican,Beth Pearce,1367
Windsor,LUDLOW,State Treasurer,,Democratic/Republican,Beth Pearce,830
Windsor,NORWICH,State Treasurer,,Democratic/Republican,Beth Pearce,1702
Windsor,PLYMOUTH,State Treasurer,,Democratic/Republican,Beth Pearce,230
Windsor,POMFRET,State Treasurer,,Democratic/Republican,Beth Pearce,393
Windsor,READING,State Treasurer,,Democratic/Republican,Beth Pearce,262
Windsor,ROCHESTER,State Treasurer,,Democratic/Republican,Beth Pearce,464
Windsor,ROYALTON,State Treasurer,,Democratic/Republican,Beth Pearce,940
Windsor,SHARON,State Treasurer,,Democratic/Republican,Beth Pearce,539
Windsor,SPRINGFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,2935
Windsor,STOCKBRIDGE,State Treasurer,,Democratic/Republican,Beth Pearce,326
Windsor,WEATHERSFIELD,State Treasurer,,Democratic/Republican,Beth Pearce,1158
Windsor,WEST WINDSOR,State Treasurer,,Democratic/Republican,Beth Pearce,542
Windsor,WESTON,State Treasurer,,Democratic/Republican,Beth Pearce,307
Windsor,WINDSOR,State Treasurer,,Democratic/Republican,Beth Pearce,1219
Windsor,WOODSTOCK,State Treasurer,,Democratic/Republican,Beth Pearce,1241
Addison,ADDISON,State Treasurer,,Progressive,Don Schramm,71
Addison,BRIDPORT,State Treasurer,,Progressive,Don Schramm,50
Addison,BRISTOL,State Treasurer,,Progressive,Don Schramm,270
Addison,CORNWALL,State Treasurer,,Progressive,Don Schramm,71
Addison,FERRISBURGH,State Treasurer,,Progressive,Don Schramm,145
Addison,GOSHEN,State Treasurer,,Progressive,Don Schramm,21
Addison,GRANVILLE,State Treasurer,,Progressive,Don Schramm,22
Addison,HANCOCK,State Treasurer,,Progressive,Don Schramm,19
Addison,LEICESTER,State Treasurer,,Progressive,Don Schramm,48
Addison,LINCOLN,State Treasurer,,Progressive,Don Schramm,117
Addison,MIDDLEBURY,State Treasurer,,Progressive,Don Schramm,457
Addison,MONKTON,State Treasurer,,Progressive,Don Schramm,134
Addison,NEW HAVEN,State Treasurer,,Progressive,Don Schramm,111
Addison,ORWELL,State Treasurer,,Progressive,Don Schramm,65
Addison,PANTON,State Treasurer,,Progressive,Don Schramm,30
Addison,RIPTON,State Treasurer,,Progressive,Don Schramm,51
Addison,SALISBURY,State Treasurer,,Progressive,Don Schramm,67
Addison,SHOREHAM,State Treasurer,,Progressive,Don Schramm,53
Addison,STARKSBORO,State Treasurer,,Progressive,Don Schramm,111
Addison,VERGENNES,State Treasurer,,Progressive,Don Schramm,116
Addison,WALTHAM,State Treasurer,,Progressive,Don Schramm,22
Addison,WEYBRIDGE,State Treasurer,,Progressive,Don Schramm,69
Addison,WHITING,State Treasurer,,Progressive,Don Schramm,21
Bennington,ARLINGTON,State Treasurer,,Progressive,Don Schramm,127
Bennington,BENNINGTON,State Treasurer,,Progressive,Don Schramm,834
Bennington,DORSET,State Treasurer,,Progressive,Don Schramm,105
Bennington,LANDGROVE,State Treasurer,,Progressive,Don Schramm,10
Bennington,MANCHESTER,State Treasurer,,Progressive,Don Schramm,223
Bennington,PERU,State Treasurer,,Progressive,Don Schramm,24
Bennington,POWNAL,State Treasurer,,Progressive,Don Schramm,188
Bennington,READSBORO,State Treasurer,,Progressive,Don Schramm,38
Bennington,RUPERT,State Treasurer,,Progressive,Don Schramm,32
Bennington,SANDGATE,State Treasurer,,Progressive,Don Schramm,28
Bennington,SEARSBURG,State Treasurer,,Progressive,Don Schramm,8
Bennington,SHAFTSBURY,State Treasurer,,Progressive,Don Schramm,182
Bennington,STAMFORD,State Treasurer,,Progressive,Don Schramm,49
Bennington,SUNDERLAND,State Treasurer,,Progressive,Don Schramm,65
Bennington,WINHALL,State Treasurer,,Progressive,Don Schramm,61
Bennington,WOODFORD,State Treasurer,,Progressive,Don Schramm,23
Caledonia,BARNET,State Treasurer,,Progressive,Don Schramm,101
Caledonia,BURKE,State Treasurer,,Progressive,Don Schramm,73
Caledonia,DANVILLE,State Treasurer,,Progressive,Don Schramm,92
Caledonia,GROTON,State Treasurer,,Progressive,Don Schramm,51
Caledonia,HARDWICK,State Treasurer,,Progressive,Don Schramm,183
Caledonia,KIRBY,State Treasurer,,Progressive,Don Schramm,30
Caledonia,LYNDON,State Treasurer,,Progressive,Don Schramm,180
Caledonia,NEWARK,State Treasurer,,Progressive,Don Schramm,28
Caledonia,PEACHAM,State Treasurer,,Progressive,Don Schramm,41
Caledonia,RYEGATE,State Treasurer,,Progressive,Don Schramm,51
Caledonia,SAINT JOHNSBURY,State Treasurer,,Progressive,Don Schramm,315
Caledonia,SHEFFIELD,State Treasurer,,Progressive,Don Schramm,39
Caledonia,STANNARD,State Treasurer,,Progressive,Don Schramm,14
Caledonia,SUTTON,State Treasurer,,Progressive,Don Schramm,43
Caledonia,WALDEN,State Treasurer,,Progressive,Don Schramm,50
Caledonia,WATERFORD,State Treasurer,,Progressive,Don Schramm,51
Caledonia,WHEELOCK,State Treasurer,,Progressive,Don Schramm,45
Chittenden,BOLTON,State Treasurer,,Progressive,Don Schramm,94
Chittenden,BURLINGTON,State Treasurer,,Progressive,Don Schramm,4241
Chittenden,CHARLOTTE,State Treasurer,,Progressive,Don Schramm,286
Chittenden,COLCHESTER,State Treasurer,,Progressive,Don Schramm,990
Chittenden,ESSEX,State Treasurer,,Progressive,Don Schramm,1239
Chittenden,HINESBURG,State Treasurer,,Progressive,Don Schramm,350
Chittenden,HUNTINGTON,State Treasurer,,Progressive,Don Schramm,177
Chittenden,JERICHO,State Treasurer,,Progressive,Don Schramm,323
Chittenden,MILTON,State Treasurer,,Progressive,Don Schramm,631
Chittenden,RICHMOND,State Treasurer,,Progressive,Don Schramm,290
Chittenden,SAINT GEORGE,State Treasurer,,Progressive,Don Schramm,47
Chittenden,SHELBURNE,State Treasurer,,Progressive,Don Schramm,486
Chittenden,SOUTH BURLINGTON,State Treasurer,,Progressive,Don Schramm,1397
Chittenden,UNDERHILL,State Treasurer,,Progressive,Don Schramm,209
Chittenden,WESTFORD,State Treasurer,,Progressive,Don Schramm,143
Chittenden,WILLISTON,State Treasurer,,Progressive,Don Schramm,521
Chittenden,WINOOSKI,State Treasurer,,Progressive,Don Schramm,605
Essex,BLOOMFIELD,State Treasurer,,Progressive,Don Schramm,14
Essex,BRIGHTON,State Treasurer,,Progressive,Don Schramm,61
Essex,BRUNSWICK,State Treasurer,,Progressive,Don Schramm,3
Essex,CANAAN,State Treasurer,,Progressive,Don Schramm,44
Essex,CONCORD,State Treasurer,,Progressive,Don Schramm,66
Essex,EAST HAVEN,State Treasurer,,Progressive,Don Schramm,8
Essex,GRANBY,State Treasurer,,Progressive,Don Schramm,2
Essex,GUILDHALL,State Treasurer,,Progressive,Don Schramm,16
Essex,LEMINGTON,State Treasurer,,Progressive,Don Schramm,17
Essex,LUNENBURG,State Treasurer,,Progressive,Don Schramm,57
Essex,MAIDSTONE,State Treasurer,,Progressive,Don Schramm,3
Essex,NORTON,State Treasurer,,Progressive,Don Schramm,9
Essex,VICTORY,State Treasurer,,Progressive,Don Schramm,6
Franklin,BAKERSFIELD,State Treasurer,,Progressive,Don Schramm,86
Franklin,BERKSHIRE,State Treasurer,,Progressive,Don Schramm,59
Franklin,ENOSBURGH,State Treasurer,,Progressive,Don Schramm,185
Franklin,FAIRFAX,State Treasurer,,Progressive,Don Schramm,262
Franklin,FAIRFIELD,State Treasurer,,Progressive,Don Schramm,114
Franklin,FLETCHER,State Treasurer,,Progressive,Don Schramm,87
Franklin,FRANKLIN,State Treasurer,,Progressive,Don Schramm,57
Franklin,GEORGIA,State Treasurer,,Progressive,Don Schramm,257
Franklin,HIGHGATE,State Treasurer,,Progressive,Don Schramm,142
Franklin,MONTGOMERY,State Treasurer,,Progressive,Don Schramm,116
Franklin,RICHFORD,State Treasurer,,Progressive,Don Schramm,89
Franklin,SAINT ALBANS CITY,State Treasurer,,Progressive,Don Schramm,316
Franklin,SAINT ALBANS TOWN,State Treasurer,,Progressive,Don Schramm,279
Franklin,SHELDON,State Treasurer,,Progressive,Don Schramm,92
Franklin,SWANTON,State Treasurer,,Progressive,Don Schramm,293
Grand Isle,ALBURGH,State Treasurer,,Progressive,Don Schramm,113
Grand Isle,GRAND ISLE,State Treasurer,,Progressive,Don Schramm,120
Grand Isle,ISLE LA MOTTE,State Treasurer,,Progressive,Don Schramm,41
Grand Isle,NORTH HERO,State Treasurer,,Progressive,Don Schramm,66
Grand Isle,SOUTH HERO,State Treasurer,,Progressive,Don Schramm,130
Lamoille,BELVIDERE,State Treasurer,,Progressive,Don Schramm,21
Lamoille,CAMBRIDGE,State Treasurer,,Progressive,Don Schramm,234
Lamoille,EDEN,State Treasurer,,Progressive,Don Schramm,73
Lamoille,ELMORE,State Treasurer,,Progressive,Don Schramm,69
Lamoille,HYDE PARK,State Treasurer,,Progressive,Don Schramm,185
Lamoille,JOHNSON,State Treasurer,,Progressive,Don Schramm,192
Lamoille,MORRISTOWN,State Treasurer,,Progressive,Don Schramm,332
Lamoille,STOWE,State Treasurer,,Progressive,Don Schramm,301
Lamoille,WATERVILLE,State Treasurer,,Progressive,Don Schramm,41
Lamoille,WOLCOTT,State Treasurer,,Progressive,Don Schramm,105
Orange,BRADFORD,State Treasurer,,Progressive,Don Schramm,145
Orange,BRAINTREE,State Treasurer,,Progressive,Don Schramm,57
Orange,BROOKFIELD,State Treasurer,,Progressive,Don Schramm,85
Orange,CHELSEA,State Treasurer,,Progressive,Don Schramm,60
Orange,CORINTH,State Treasurer,,Progressive,Don Schramm,80
Orange,FAIRLEE,State Treasurer,,Progressive,Don Schramm,79
Orange,NEWBURY,State Treasurer,,Progressive,Don Schramm,109
Orange,ORANGE,State Treasurer,,Progressive,Don Schramm,37
Orange,RANDOLPH,State Treasurer,,Progressive,Don Schramm,212
Orange,STRAFFORD,State Treasurer,,Progressive,Don Schramm,90
Orange,THETFORD,State Treasurer,,Progressive,Don Schramm,182
Orange,TOPSHAM,State Treasurer,,Progressive,Don Schramm,46
Orange,TUNBRIDGE,State Treasurer,,Progressive,Don Schramm,78
Orange,VERSHIRE,State Treasurer,,Progressive,Don Schramm,45
Orange,WASHINGTON,State Treasurer,,Progressive,Don Schramm,35
Orange,WEST FAIRLEE,State Treasurer,,Progressive,Don Schramm,33
Orange,WILLIAMSTOWN,State Treasurer,,Progressive,Don Schramm,121
Orleans,ALBANY,State Treasurer,,Progressive,Don Schramm,48
Orleans,BARTON,State Treasurer,,Progressive,Don Schramm,110
Orleans,BROWNINGTON,State Treasurer,,Progressive,Don Schramm,41
Orleans,CHARLESTON,State Treasurer,,Progressive,Don Schramm,51
Orleans,COVENTRY,State Treasurer,,Progressive,Don Schramm,44
Orleans,CRAFTSBURY,State Treasurer,,Progressive,Don Schramm,85
Orleans,DERBY,State Treasurer,,Progressive,Don Schramm,217
Orleans,GLOVER,State Treasurer,,Progressive,Don Schramm,64
Orleans,GREENSBORO,State Treasurer,,Progressive,Don Schramm,51
Orleans,HOLLAND,State Treasurer,,Progressive,Don Schramm,41
Orleans,IRASBURG,State Treasurer,,Progressive,Don Schramm,43
Orleans,JAY,State Treasurer,,Progressive,Don Schramm,24
Orleans,LOWELL,State Treasurer,,Progressive,Don Schramm,56
Orleans,MORGAN,State Treasurer,,Progressive,Don Schramm,33
Orleans,NEWPORT CITY,State Treasurer,,Progressive,Don Schramm,159
Orleans,NEWPORT TOWN,State Treasurer,,Progressive,Don Schramm,88
Orleans,TROY,State Treasurer,,Progressive,Don Schramm,77
Orleans,WESTFIELD,State Treasurer,,Progressive,Don Schramm,42
Orleans,WESTMORE,State Treasurer,,Progressive,Don Schramm,20
Rutland,BENSON,State Treasurer,,Progressive,Don Schramm,69
Rutland,BRANDON,State Treasurer,,Progressive,Don Schramm,175
Rutland,CASTLETON,State Treasurer,,Progressive,Don Schramm,187
Rutland,CHITTENDEN,State Treasurer,,Progressive,Don Schramm,67
Rutland,CLARENDON,State Treasurer,,Progressive,Don Schramm,110
Rutland,DANBY,State Treasurer,,Progressive,Don Schramm,59
Rutland,FAIR HAVEN,State Treasurer,,Progressive,Don Schramm,136
Rutland,HUBBARDTON,State Treasurer,,Progressive,Don Schramm,45
Rutland,IRA,State Treasurer,,Progressive,Don Schramm,17
Rutland,KILLINGTON,State Treasurer,,Progressive,Don Schramm,67
Rutland,MENDON,State Treasurer,,Progressive,Don Schramm,54
Rutland,MIDDLETOWN SPRINGS,State Treasurer,,Progressive,Don Schramm,64
Rutland,MOUNT HOLLY,State Treasurer,,Progressive,Don Schramm,73
Rutland,MOUNT TABOR,State Treasurer,,Progressive,Don Schramm,12
Rutland,PAWLET,State Treasurer,,Progressive,Don Schramm,94
Rutland,PITTSFIELD,State Treasurer,,Progressive,Don Schramm,29
Rutland,PITTSFORD,State Treasurer,,Progressive,Don Schramm,114
Rutland,POULTNEY,State Treasurer,,Progressive,Don Schramm,174
Rutland,PROCTOR,State Treasurer,,Progressive,Don Schramm,70
Rutland,RUTLAND CITY,State Treasurer,,Progressive,Don Schramm,623
