county,town,office,district,party,candidate,votes
Orleans,WESTMORE,President,,Libertarian,Gary Johnson,7
Rutland,BENSON,President,,Libertarian,Gary Johnson,23
Rutland,BRANDON,President,,Libertarian,Gary Johnson,49
Rutland,CASTLETON,President,,Libertarian,Gary Johnson,39
Rutland,CHITTENDEN,President,,Libertarian,Gary Johnson,21
Rutland,CLARENDON,President,,Libertarian,Gary Johnson,35
Rutland,DANBY,President,,Libertarian,Gary Johnson,39
Rutland,FAIR HAVEN,President,,Libertarian,Gary Johnson,23
Rutland,HUBBARDTON,President,,Libertarian,Gary Johnson,12
Rutland,IRA,President,,Libertarian,Gary Johnson,8
Rutland,KILLINGTON,President,,Libertarian,Gary Johnson,29
Rutland,MENDON,President,,Libertarian,Gary Johnson,26
Rutland,MIDDLETOWN SPRINGS,President,,Libertarian,Gary Johnson,8
Rutland,MOUNT HOLLY,President,,Libertarian,Gary Johnson,25
Rutland,MOUNT TABOR,President,,Libertarian,Gary Johnson,5
Rutland,PAWLET,President,,Libertarian,Gary Johnson,23
Rutland,PITTSFIELD,President,,Libertarian,Gary Johnson,8
Rutland,PITTSFORD,President,,Libertarian,Gary Johnson,65
Rutland,POULTNEY,President,,Libertarian,Gary Johnson,49
Rutland,PROCTOR,President,,Libertarian,Gary Johnson,34
Rutland,RUTLAND CITY,President,,Libertarian,Gary Johnson,209
Rutland,RUTLAND TOWN,President,,Libertarian,Gary Johnson,88
Rutland,SHREWSBURY,President,,Libertarian,Gary Johnson,16
Rutland,SUDBURY,President,,Libertarian,Gary Johnson,12
Rutland,TINMOUTH,President,,Libertarian,Gary Johnson,15
Rutland,WALLINGFORD,President,,Libertarian,Gary Johnson,35
Rutland,WELLS,President,,Libertarian,Gary Johnson,17
Rutland,WEST HAVEN,President,,Libertarian,Gary Johnson,0
Rutland,WEST RUTLAND,President,,Libertarian,Gary Johnson,33
Washington,BARRE CITY,President,,Libertarian,Gary Johnson,109
Washington,BARRE TOWN,President,,Libertarian,Gary Johnson,139
Washington,BERLIN,President,,Libertarian,Gary Johnson,51
Washington,CABOT,President,,Libertarian,Gary Johnson,37
Washington,CALAIS,President,,Libertarian,Gary Johnson,21
Washington,DUXBURY,President,,Libertarian,Gary Johnson,38
Washington,EAST MONTPELIER,President,,Libertarian,Gary Johnson,41
Washington,FAYSTON,President,,Libertarian,Gary Johnson,21
Washington,MARSHFIELD,President,,Libertarian,Gary Johnson,27
Washington,MIDDLESEX,President,,Libertarian,Gary Johnson,31
Washington,MONTPELIER,President,,Libertarian,Gary Johnson,98
Washington,MORETOWN,President,,Libertarian,Gary Johnson,42
Washington,NORTHFIELD,President,,Libertarian,Gary Johnson,105
Washington,PLAINFIELD,President,,Libertarian,Gary Johnson,16
Washington,ROXBURY,President,,Libertarian,Gary Johnson,21
Washington,WAITSFIELD,President,,Libertarian,Gary Johnson,29
Washington,WARREN,President,,Libertarian,Gary Johnson,45
Washington,WATERBURY,President,,Libertarian,Gary Johnson,91
Washington,WOODBURY,President,,Libertarian,Gary Johnson,18
Washington,WORCESTER,President,,Libertarian,Gary Johnson,19
Windham,ATHENS,President,,Libertarian,Gary Johnson,6
Windham,BRATTLEBORO,President,,Libertarian,Gary Johnson,95
Windham,BROOKLINE,President,,Libertarian,Gary Johnson,12
